TABLE_NAME,INDEX_NAME,COLUMN_NAME,NON_UNIQUE
currencyexchange,idx_FromCurrency,FromCurrency,1
currencyexchange,idx_ToCurrency,ToCurrency,1
currencyexchange,PRIMARY,CurrencyExchangeKey,0
currencyexchange,unique_date_from_to,Date,0
currencyexchange,unique_date_from_to,FromCurrency,0
currencyexchange,unique_date_from_to,ToCurrency,0
customer,idx_CustomerKey_GeoAreaKey,CustomerKey,1
customer,idx_CustomerKey_GeoAreaKey,GeoAreaKey,1
customer,idx_GivenName,GivenName,1
customer,idx_Surname,Surname,1
customer,PRIMARY,CustomerKey,0
date,idx_Date,Date,1
date,PRIMARY,DateKey,0
orderrows,PRIMARY,OrderRowsKey,0
orderrows,unique_orderkey_linenumber,OrderKey,0
orderrows,unique_orderkey_linenumber,LineNumber,0
orders,PRIMARY,OrderKey,0
product,idx_ProductCode,ProductCode,1
product,PRIMARY,ProductKey,0
productcategory,PRIMARY,ProductCategoryKey,0
sales,PRIMARY,SalesKey,0
schemachangelog,PRIMARY,SchemaChangeLogKey,0
users,PRIMARY,UserKey,0
users,UserName,UserName,0
